Мельникова Ксения Витальевна,«Корчма»,"Тыквенный суп, Хинкали с бараниной, торт Наполеон",Чай,2550,250,0
Иванова София Ивановна,Saperavi Cafe,"Салат из овощей, Свинные рёбрышки в соусе BBQ, пирожное Паннна-Кота",Вино красное,3056,400,1
Буракшаева Юлия Сергеевна,«Стейк Хаус Бутчер»,"Мясной салат, Стейк из мраморной говядины",Джин,2390,600,1
Фурсова Елизавета Владимировна,«Рыба моя»,"Салат с морепродуктами, Лосоь слабосолёный, Тарелка с устрицами",Мохито,3150,0,1
Сапсай Иван Алексеевич,Osteria Mario,"Салат «Черчилль», Лазанья",Виски ,1155,200,1
Богословский Артем Михайлович,«Горыныч»,"Суп «Борщ», Селёдка под шубой, торт Медовик","Сок яблочный, Чай",1440,200,0
Самбикина Юлия Владимировна,«Восход»,"Салат «Вальдорф», Чесночные брускетты, пирожное Анна Павловна","Вино белое, Шапманское ",2820,500,1
Шпак Ангелина Эдуардовна,«Вареничная №1»,"Салат «Винегрет», Варенники с картофелем, Варенники с капустой",Кофе,1430,500,0
Пименов Максим Евгеньевич,«Высота 5642»,"Суп  Окрошка, Запеченные мозговые кости со специямия, Хинкали с бараниной",Текила,4060,600,1
Сигида Валерия Романовна,«Корчма»,"Салат «Мимоза», Фирменная свинина «Корчма»",Чай,1210,0,0
Миронова Елизавета Валерьевна,«Стейк Хаус Бутчер»,"Авторский Том Ям, Бефстроганов, десерт «Тропикано»",Вино белое,3580,900,1
Безуглова Анастасия Александровна,Saperavi Cafe,"Суп Харчо, Кебаб из курицы",Мартини,1784,350,1
Мельникова Ксения Витальевна,Osteria Mario,"Салат  тунцом, Чёрная паста с морепродуктами, Чизкейк с карамелью и свежими ягодами",Вино красное,2645,700,1
Иванова София Ивановна,«Восход»,"Закуска «Аджапсандал», Клешня краба",Текила,3390,800,1
Буракшаева Юлия Сергеевна,«Высота 5642»,"Тёплый салат с куриной печенью, Хачапури по-мегрельски",Вино красное,2950,400,1
Фурсова Елизавета Владимировна,«Вареничная №1»,"Гречневая каша, Жаренные творожные шарики, Вареники с курицей и грибами",Чай,940,150,0
Сапсай Иван Алексеевич,«Горыныч»,"Круасcан классический, Запеченные баклажаны с томатами и греческим сыром",Мартини,1370,0,1
Богословский Артем Михайлович,«Стейк Хаус Бутчер»,"Зелёный салат, Сковородка «Биф»",Джин,1670,400,1
Самбикина Юлия Владимировна,Osteria Mario,"Салат «Капрезе», Феттучине с курицей",Вино красное,1765,235,1
Шпак Ангелина Эдуардовна,Saperavi Cafe,"Овощи с ореховой пастой, «Чашушули», Вишнёвый пирог и пломбир",Вино белое,2765,535,1
Пименов Максим Евгеньевич,«Галки»,"Хумус из нута, Тако, римская пицца Чоризо",Вино красное,2280,420,1
Сигида Валерия Романовна,«Галки»,"Суп Рамен, Оладьи с гуакамоле и шпинатом","Апероль, Бренди",2180,320,1
